Organism	Name	Group	Condition	Description
Cupriavidus basilensis 4G11	set5IT003	stress	Dimethyl Sulfoxide	R2A with Dimethyl Sulfoxide 5 vol%
Cupriavidus basilensis 4G11	set1IT027	stress	Doxycycline hyclate	R2A with Doxycycline hyclate 0.0001 mg/ml
Cupriavidus basilensis 4G11	set5IT007	stress	Lomefloxacin hydrochloride	R2A with Lomefloxacin 0.00075 mM
Cupriavidus basilensis 4G11	set5IT008	stress	Lomefloxacin hydrochloride	R2A with Lomefloxacin 0.001 mM
Cupriavidus basilensis 4G11	set1IT024	stress	MreB Perturbing Compound A22	R2A with A22 0.01 mg/ml
Cupriavidus basilensis 4G11	set4IT062	stress	Nickel (II) chloride hexahydrate	R2A with Nickel (II) chloride 0.25 mM
Cupriavidus basilensis 4G11	set6IT082	stress	Nickel (II) chloride hexahydrate	R2A with Nickel (II) chloride 0.25 mM
Cupriavidus basilensis 4G11	set1IT001	stress	Nickel (II) chloride hexahydrate	R2A with Nickel (II) chloride 0.35 mM
Cupriavidus basilensis 4G11	set4IT063	stress	Nickel (II) chloride hexahydrate	R2A with Nickel (II) chloride 0.35 mM
Cupriavidus basilensis 4G11	set6IT083	stress	Nickel (II) chloride hexahydrate	R2A with Nickel (II) chloride 0.5 mM
Cupriavidus basilensis 4G11	set1IT005	stress	Paraquat dichloride	R2A with Paraquat dichloride 0.064 mg/ml
Cupriavidus basilensis 4G11	set4IT073	stress	Polymyxin B sulfate	R2A with Polymyxin B sulfate 0.005 mg/ml
Cupriavidus basilensis 4G11	set1IT013	stress	Sisomicin sulfate salt	R2A with Sisomicin 0.035 mg/ml
Cupriavidus basilensis 4G11	set1IT018	stress	Sodium Chloride	R2A with Chloride 300 mM
Cupriavidus basilensis 4G11	set4IT074	stress	Sodium Chloride	R2A with Chloride 300 mM
Cupriavidus basilensis 4G11	set1IT015	stress	Sodium Chlorite	R2A with Chlorite 4 mM
Cupriavidus basilensis 4G11	set4IT072	stress	Sodium Chlorite	R2A with Chlorite 4 mM
Cupriavidus basilensis 4G11	set6IT087	stress	Sodium nitrate	R2A with nitrate 150 mM
Cupriavidus basilensis 4G11	set1IT012	stress	Sodium nitrate	R2A with nitrate 200 mM
Cupriavidus basilensis 4G11	set4IT070	stress	Sodium nitrate	R2A with nitrate 200 mM
Cupriavidus basilensis 4G11	set1IT006	stress	Thallium(I) acetate	R2A with Thallium(I) acetate 0.001 mg/ml
Cupriavidus basilensis 4G11	set1IT022	stress	Vancomycin Hydrochloride Hydrate	R2A with Vancomycin 0.5 mg/ml
Cupriavidus basilensis 4G11	set5IT005	stress	Vancomycin Hydrochloride Hydrate	R2A with Vancomycin 0.5 mg/ml
Cupriavidus basilensis 4G11	set1IT008	stress	Zinc sulfate heptahydrate	R2A with Zinc 0.1 mM
Cupriavidus basilensis 4G11	set1IT003	stress	copper (II) chloride dihydrate	R2A with copper (II) chloride 0.25 mM
Cupriavidus basilensis 4G11	set4IT064	stress	sodium fluoride	R2A with sodium fluoride 100 mM
Dechlorosoma suillum PS	set6IT029	stress	Bacitracin	ALP with Bacitracin 0.2 mg/ml
Dechlorosoma suillum PS	set5IT012	stress	Cisplatin	ALP with Cisplatin 0.0007 mg/ml
Dechlorosoma suillum PS	set5IT013	stress	Cisplatin	ALP with Cisplatin 0.0008 mg/ml
Dechlorosoma suillum PS	set5IT014	stress	Cisplatin	ALP with Cisplatin 0.0009 mg/ml
Dechlorosoma suillum PS	set5IT004	stress	Cobalt chloride hexahydrate	ALP with Cobalt chloride 0.2 mM
Dechlorosoma suillum PS	set5IT005	stress	Cobalt chloride hexahydrate	ALP with Cobalt chloride 0.25 mM
Dechlorosoma suillum PS	set6IT033	stress	Dimethyl Sulfoxide	ALP with Dimethyl Sulfoxide 2 vol%
Dechlorosoma suillum PS	set6IT030	stress	Fusidic acid sodium salt	ALP with Fusidic 0.007 mg/ml
Dechlorosoma suillum PS	set6IT031	stress	Fusidic acid sodium salt	ALP with Fusidic 0.01 mg/ml
Dechlorosoma suillum PS	set6IT032	stress	Fusidic acid sodium salt	ALP with Fusidic 0.02 mg/ml
Dechlorosoma suillum PS	set1H7	stress	Hydrogen peroxide	rich media with hydrogen peroxide 5 mM
Dechlorosoma suillum PS	set5IT001	stress	Nickel (II) chloride hexahydrate	ALP with Nickel (II) chloride 1.5 mM
Dechlorosoma suillum PS	set5IT002	stress	Nickel (II) chloride hexahydrate	ALP with Nickel (II) chloride 2.5 mM
Dechlorosoma suillum PS	set5IT003	stress	Nickel (II) chloride hexahydrate	ALP with Nickel (II) chloride 3.5 mM
Dechlorosoma suillum PS	set6IT028	stress	Sodium Chloride	ALP with Chloride 75 mM
Dechlorosoma suillum PS	set1H9	stress	Sodium Chlorite	rich media with sodium chlorite 0.16 mM
Dechlorosoma suillum PS	set1H10	stress	Sodium Chlorite	rich media with sodium chlorite 0.16 mM
Dechlorosoma suillum PS	set1H11	stress	Sodium Chlorite	rich media with sodium chlorite 0.16 mM
Dechlorosoma suillum PS	set1H12	stress	Sodium Chlorite	rich media with sodium chlorite 0.16 mM
Dechlorosoma suillum PS	set5IT021	stress	Sodium nitrate	ALP with nitrate 50 mM
Dechlorosoma suillum PS	set5IT022	stress	Sodium nitrate	ALP with nitrate 75 mM
Dechlorosoma suillum PS	set5IT018	stress	Sodium nitrite	ALP with nitrite 0.15 mM
Dechlorosoma suillum PS	set5IT019	stress	Sodium nitrite	ALP with nitrite 0.3 mM
Dechlorosoma suillum PS	set5IT020	stress	Sodium nitrite	ALP with nitrite 0.45 mM
Dechlorosoma suillum PS	set6IT027	stress	Sodium perchlorate monohydrate	ALP with perchlorate 12 mM
Dechlorosoma suillum PS	set6IT025	stress	Sodium perchlorate monohydrate	ALP with perchlorate 3 mM
Dechlorosoma suillum PS	set6IT026	stress	Sodium perchlorate monohydrate	ALP with perchlorate 6 mM
Dechlorosoma suillum PS	set5IT009	stress	Thallium(I) acetate	ALP with Thallium(I) acetate 0.002 mg/ml
Dechlorosoma suillum PS	set5IT010	stress	Thallium(I) acetate	ALP with Thallium(I) acetate 0.003 mg/ml
Dechlorosoma suillum PS	set5IT011	stress	Thallium(I) acetate	ALP with Thallium(I) acetate 0.004 mg/ml
Dechlorosoma suillum PS	set5IT015	stress	Zinc sulfate heptahydrate	ALP with Zinc 1 mM
Dechlorosoma suillum PS	set5IT016	stress	Zinc sulfate heptahydrate	ALP with Zinc 2 mM
Dechlorosoma suillum PS	set5IT006	stress	copper (II) chloride dihydrate	ALP with copper (II) chloride 0.6 mM
Dechlorosoma suillum PS	set5IT007	stress	sodium fluoride	ALP with sodium fluoride 30 mM
Dechlorosoma suillum PS	set5IT008	stress	sodium fluoride	ALP with sodium fluoride 40 mM
Desulfovibrio vulgaris Miyazaki F	set4IT045	stress	2-Furfuraldehyde	MoYLS4 with 2-Furfuraldehyde 0.0625 %
Desulfovibrio vulgaris Miyazaki F	set4IT046	stress	5-Hydroxymethylfurfural	MoYLS4 with 5-Hydroxymethylfurfural 10 mM
Desulfovibrio vulgaris Miyazaki F	set4IT048	stress	5-Hydroxymethylfurfural	MoYLS4 with 5-Hydroxymethylfurfural 2.5 mM
Desulfovibrio vulgaris Miyazaki F	set4IT047	stress	5-Hydroxymethylfurfural	MoYLS4 with 5-Hydroxymethylfurfural 5 mM
Desulfovibrio vulgaris Miyazaki F	set3IT049	stress	Aluminum chloride hydrate	MoYLS4 with Aluminum chloride 10 mM
Desulfovibrio vulgaris Miyazaki F	set3IT050	stress	Aluminum chloride hydrate	MoYLS4 with Aluminum chloride 5 mM
Desulfovibrio vulgaris Miyazaki F	set3IT060	stress	Bacitracin	MoYLS4 with Bacitracin 1 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT059	stress	Bacitracin	MoYLS4 with Bacitracin 1.4 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H16	stress	Carbenicillin disodium salt	MoYLS4 with Carbenicillin 0.0468 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H17	stress	Carbenicillin disodium salt	MoYLS4 with Carbenicillin 0.0468 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H18	stress	Carbenicillin disodium salt	MoYLS4 with Carbenicillin 0.0625 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H19	stress	Carbenicillin disodium salt	MoYLS4 with Carbenicillin 0.0625 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT025	stress	Ceftazidime hydrate	MoYLS4 with Ceftazidime 0.5 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT024	stress	Ceftazidime hydrate	MoYLS4 with Ceftazidime 0.6 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT023	stress	Ceftazidime hydrate	MoYLS4 with Ceftazidime 0.75 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT022	stress	Ceftazidime hydrate	MoYLS4 with Ceftazidime 0.9 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT020	stress	Ceftazidime hydrate	MoYLS4 with Ceftazidime 1 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT071	stress	Cephalothin sodium salt	MoYLS4 with Cephalothin 0.625 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT070	stress	Cephalothin sodium salt	MoYLS4 with Cephalothin 1.25 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H31	stress	Chloramphenicol	MoYLS4 with Chloramphenicol 0.003125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H32	stress	Chloramphenicol	MoYLS4 with Chloramphenicol 0.003125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set7IT051	stress	D-Cycloserine	MoLS4 with D-Cycloserine 0.0625 mg/ml
Desulfovibrio vulgaris Miyazaki F	set7IT050	stress	D-Cycloserine	MoLS4 with D-Cycloserine 0.125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set7IT049	stress	D-Cycloserine	MoLS4 with D-Cycloserine 0.25 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT010	stress	D-Cycloserine	MoYLS4 with D-Cycloserine 0.25 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT063	stress	Dimethyl Sulfoxide	MoYLS4 with Dimethyl Sulfoxide 10 %
Desulfovibrio vulgaris Miyazaki F	set3IT066	stress	Dimethyl Sulfoxide	MoYLS4 with Dimethyl Sulfoxide 5 %
Desulfovibrio vulgaris Miyazaki F	set3IT065	stress	Dimethyl Sulfoxide	MoYLS4 with Dimethyl Sulfoxide 7.5 %
Desulfovibrio vulgaris Miyazaki F	set4IT018	stress	Doxycycline hyclate	MoYLS4 with Doxycycline hyclate 0.003 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT016	stress	Doxycycline hyclate	MoYLS4 with Doxycycline hyclate 0.0156 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT054	stress	Furfuryl Alcohol	MoYLS4 with Furfuryl Alcohol 0.25 %
Desulfovibrio vulgaris Miyazaki F	set4IT053	stress	Furfuryl Alcohol	MoYLS4 with Furfuryl Alcohol 0.5 %
Desulfovibrio vulgaris Miyazaki F	set3IT062	stress	Fusidic acid sodium salt	MoYLS4 with Fusidic 0.015625 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT061	stress	Fusidic acid sodium salt	MoYLS4 with Fusidic 0.03125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H20	stress	G418 disulfate salt solution	MoYLS4 with G418 0.031 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H21	stress	G418 disulfate salt solution	MoYLS4 with G418 0.031 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H33	stress	G418 disulfate salt solution	MoYLS4 with G418 0.125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H34	stress	G418 disulfate salt solution	MoYLS4 with G418 0.125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT006	stress	Gentamicin sulfate salt	MoYLS4 with Gentamicin 0.03 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT005	stress	Gentamicin sulfate salt	MoYLS4 with Gentamicin 0.0625 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT077	stress	Lomefloxacin hydrochloride	MoYLS4 with Lomefloxacin 0.00078 mM
Desulfovibrio vulgaris Miyazaki F	set3IT076	stress	Lomefloxacin hydrochloride	MoYLS4 with Lomefloxacin 0.00156 mM
Desulfovibrio vulgaris Miyazaki F	set3IT073	stress	MreB Perturbing Compound A22	MoYLS4 with A22 0.043 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT072	stress	MreB Perturbing Compound A22	MoYLS4 with A22 0.0875 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H35	stress	Nalidixic acid sodium salt	MoYLS4 with Nalidixic 0.0078125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H36	stress	Nalidixic acid sodium salt	MoYLS4 with Nalidixic 0.0078125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT013	stress	Neomycin trisulfate salt hydrate	MoYLS4 with Neomycin 0.06 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT011	stress	Neomycin trisulfate salt hydrate	MoYLS4 with Neomycin 0.125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT020	stress	Polymyxin B sulfate	MoYLS4 with Polymyxin B sulfate 0.0625 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT018	stress	Polymyxin B sulfate	MoYLS4 with Polymyxin B sulfate 0.1 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT019	stress	Polymyxin B sulfate	MoYLS4 with Polymyxin B sulfate 0.125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT017	stress	Polymyxin B sulfate	MoYLS4 with Polymyxin B sulfate 0.25 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT036	stress	Rifampicin	MoYLS4 with Rifampicin 0.1 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT035	stress	Rifampicin	MoYLS4 with Rifampicin 0.2 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT034	stress	Rifampicin	MoYLS4 with Rifampicin 0.4 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT011	stress	Sisomicin sulfate salt	MoYLS4 with Sisomicin 0.0078 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT010	stress	Sisomicin sulfate salt	MoYLS4 with Sisomicin 0.0156 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT009	stress	Sisomicin sulfate salt	MoYLS4 with Sisomicin 0.03125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set7IT062	stress	Sodium Chlorate	MoLS4 with Chlorate 3.125 mM
Desulfovibrio vulgaris Miyazaki F	set7IT061	stress	Sodium Chlorate	MoLS4 with Chlorate 6.25 mM
Desulfovibrio vulgaris Miyazaki F	set2IT021	stress	Sodium Chloride	MoYLS4 with Chloride 125 mM
Desulfovibrio vulgaris Miyazaki F	set2IT022	stress	Sodium Chloride	MoYLS4 with Chloride 62.5 mM
Desulfovibrio vulgaris Miyazaki F	set7IT060	stress	Sodium Chlorite	MoLS4 with Chlorite 12.5 mM
Desulfovibrio vulgaris Miyazaki F	set7IT074	stress	Sodium Chlorite	MoLS4 with Chlorite 3.125 mM
Desulfovibrio vulgaris Miyazaki F	set7IT073	stress	Sodium Chlorite	MoLS4 with Chlorite 6.25 mM
Desulfovibrio vulgaris Miyazaki F	set1H37	stress	Sodium nitrate	MoYLS4 with nitrate 50 mM
Desulfovibrio vulgaris Miyazaki F	set1H38	stress	Sodium nitrate	MoYLS4 with nitrate 50 mM
Desulfovibrio vulgaris Miyazaki F	set2IT008	stress	Sodium nitrite	MoYLS4 with nitrite 0.625 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT007	stress	Sodium nitrite	MoYLS4 with nitrite 1.25 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT015	stress	Sodium perchlorate monohydrate	MoYLS4 with perchlorate 12.5 mM
Desulfovibrio vulgaris Miyazaki F	set1H22	stress	Spectinomycin dihydrochloride pentahydrate	MoYLS4 with Spectinomycin 0.0125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H23	stress	Spectinomycin dihydrochloride pentahydrate	MoYLS4 with Spectinomycin 0.0125 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H24	stress	Spectinomycin dihydrochloride pentahydrate	MoYLS4 with Spectinomycin 0.025 mg/ml
Desulfovibrio vulgaris Miyazaki F	set1H48	stress	Spectinomycin dihydrochloride pentahydrate	MoYLS4 with Spectinomycin 0.025 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT002	stress	Tetracycline hydrochloride	MoYLS4 with Tetracycline 0.0005 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT003	stress	Tetracycline hydrochloride	MoYLS4 with Tetracycline 0.0005 mg/ml
Desulfovibrio vulgaris Miyazaki F	set2IT004	stress	Tetracycline hydrochloride	MoYLS4 with Tetracycline 0.0005 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT069	stress	Vancomycin Hydrochloride Hydrate	MoYLS4 with Vancomycin 0.25 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT068	stress	Vancomycin Hydrochloride Hydrate	MoYLS4 with Vancomycin 0.5 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT067	stress	Vancomycin Hydrochloride Hydrate	MoYLS4 with Vancomycin 1 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT050	stress	Vanillin	MoYLS4 with Vanillin 10 mM
Desulfovibrio vulgaris Miyazaki F	set4IT052	stress	Vanillin	MoYLS4 with Vanillin 2.5 mM
Desulfovibrio vulgaris Miyazaki F	set4IT051	stress	Vanillin	MoYLS4 with Vanillin 5 mM
Desulfovibrio vulgaris Miyazaki F	set3IT057	stress	benzoic acid	MoYLS4 with benzoic 0.25 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT055	stress	benzoic acid	MoYLS4 with benzoic 0.54 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT054	stress	benzoic acid	MoYLS4 with benzoic 0.64 mg/ml
Desulfovibrio vulgaris Miyazaki F	set3IT053	stress	benzoic acid	MoYLS4 with benzoic 0.8 mg/ml
Desulfovibrio vulgaris Miyazaki F	set4IT040	stress	methylglyoxal	MoYLS4 with methylglyoxal 0.0156 %
Desulfovibrio vulgaris Miyazaki F	set4IT039	stress	methylglyoxal	MoYLS4 with methylglyoxal 0.031 %
Dinoroseobacter shibae DFL-12	set6IT018	stress	1-ethyl-3-methylimidazolium acetate	m.b. 1-ethyl-3-methylimidazolium acetate 1.5 mM
Dinoroseobacter shibae DFL-12	set6IT019	stress	1-ethyl-3-methylimidazolium acetate	m.b. 1-ethyl-3-methylimidazolium acetate 2 mM
Dinoroseobacter shibae DFL-12	set6IT020	stress	1-ethyl-3-methylimidazolium chloride	m.b. 1-ethyl-3-methylimidazolium chloride 2 mM
Dinoroseobacter shibae DFL-12	set6IT017	stress	1-ethyl-3-methylimidazolium lysine	m.b. 1-ethyl-3-methylimidazolium lysine 0.75 mM
Dinoroseobacter shibae DFL-12	set5IT085	stress	Aluminum chloride hydrate	m.b. Aluminum chloride 0.5 mM
Dinoroseobacter shibae DFL-12	set5IT093	stress	Aluminum chloride hydrate	m.b. Aluminum chloride 0.5 mM
Dinoroseobacter shibae DFL-12	set5IT096	stress	Bacitracin	m.b. Bacitracin 0.1 mg/ml
Dinoroseobacter shibae DFL-12	set6IT009	stress	Bacitracin	m.b. Bacitracin 0.1 mg/ml
Dinoroseobacter shibae DFL-12	set1H25	stress	Benzalkonium Chloride	m.b. Benzalkonium Chloride 0.0001 mg/ml
Dinoroseobacter shibae DFL-12	set5IT084	stress	Benzalkonium Chloride	m.b. Benzalkonium Chloride 0.0005 mg/ml
Dinoroseobacter shibae DFL-12	set5IT092	stress	Benzalkonium Chloride	m.b. Benzalkonium Chloride 0.0005 mg/ml
Dinoroseobacter shibae DFL-12	set4IT019	stress	Benzethonium chloride	m.b. Benzethonium chloride 0.008 mM
Dinoroseobacter shibae DFL-12	set4IT037	stress	Benzethonium chloride	m.b. Benzethonium chloride 0.008 mM
Dinoroseobacter shibae DFL-12	set6IT005	stress	Cephalothin sodium salt	m.b. Cephalothin 0.0001 mg/ml
Dinoroseobacter shibae DFL-12	set6IT026	stress	Cephalothin sodium salt	m.b. Cephalothin 0.0001 mg/ml
Dinoroseobacter shibae DFL-12	set1H41	stress	Chloramphenicol	m.b. Chloramphenicol 0.0002 mg/ml
Dinoroseobacter shibae DFL-12	setBH27	stress	Cholin acetate	m.b. Cholin acetate 40 mM
Dinoroseobacter shibae DFL-12	setBH30	stress	Cholin acetate	m.b. Cholin acetate 40 mM
Dinoroseobacter shibae DFL-12	set4IT008	stress	Cisplatin	m.b. Cisplatin 0.025 mg/ml
Dinoroseobacter shibae DFL-12	set4IT026	stress	Cisplatin	m.b. Cisplatin 0.025 mg/ml
Dinoroseobacter shibae DFL-12	set4IT009	stress	Cisplatin	m.b. Cisplatin 0.05 mg/ml
Dinoroseobacter shibae DFL-12	set4IT027	stress	Cisplatin	m.b. Cisplatin 0.05 mg/ml
Dinoroseobacter shibae DFL-12	set4IT003	stress	Cobalt chloride hexahydrate	m.b. Cobalt chloride 0.1 mM
Dinoroseobacter shibae DFL-12	set4IT021	stress	Cobalt chloride hexahydrate	m.b. Cobalt chloride 0.1 mM
Dinoroseobacter shibae DFL-12	set1H5	stress	Cobalt chloride hexahydrate	m.b. Cobalt chloride 0.5 mM
Dinoroseobacter shibae DFL-12	set4IT022	stress	Cobalt chloride hexahydrate	m.b. Cobalt chloride 0.5 mM
Dinoroseobacter shibae DFL-12	set6IT044	stress	D-Cycloserine	m.b. D-Cycloserine 0.048 mg/ml
Dinoroseobacter shibae DFL-12	set6IT002	stress	Dimethyl Sulfoxide	m.b. Dimethyl Sulfoxide 5 vol%
Dinoroseobacter shibae DFL-12	set6IT011	stress	Dimethyl Sulfoxide	m.b. Dimethyl Sulfoxide 5 vol%
Dinoroseobacter shibae DFL-12	set6IT003	stress	Dimethyl Sulfoxide	m.b. Dimethyl Sulfoxide 7.5 vol%
Dinoroseobacter shibae DFL-12	set6IT012	stress	Dimethyl Sulfoxide	m.b. Dimethyl Sulfoxide 7.5 vol%
Dinoroseobacter shibae DFL-12	set6IT030	stress	Doxycycline hyclate	m.b. Doxycycline hyclate 0.004 mg/ml
Dinoroseobacter shibae DFL-12	set6IT035	stress	Doxycycline hyclate	m.b. Doxycycline hyclate 0.004 mg/ml
Dinoroseobacter shibae DFL-12	set1H30	stress	Fusidic acid sodium salt	m.b. Fusidic 0.0002 mg/ml
Dinoroseobacter shibae DFL-12	set6IT001	stress	Fusidic acid sodium salt	m.b. Fusidic 0.0006 mg/ml
Dinoroseobacter shibae DFL-12	set6IT010	stress	Fusidic acid sodium salt	m.b. Fusidic 0.0006 mg/ml
Dinoroseobacter shibae DFL-12	setBH38	stress	L-Lysine	m.b. L-Lysine 200 mM
Dinoroseobacter shibae DFL-12	set6IT042	stress	Lomefloxacin hydrochloride	m.b. Lomefloxacin 0.001 mM
Dinoroseobacter shibae DFL-12	set1H33	stress	MreB Perturbing Compound A22	m.b. A22 0.01 mg/ml
Dinoroseobacter shibae DFL-12	set1H34	stress	MreB Perturbing Compound A22	m.b. A22 0.02 mg/ml
Dinoroseobacter shibae DFL-12	set6IT006	stress	MreB Perturbing Compound A22	m.b. A22 0.02 mg/ml
Dinoroseobacter shibae DFL-12	set6IT027	stress	MreB Perturbing Compound A22	m.b. A22 0.02 mg/ml
Dinoroseobacter shibae DFL-12	set6IT037	stress	Nalidixic acid sodium salt	m.b. Nalidixic 0.048 mg/ml
Dinoroseobacter shibae DFL-12	set3H47	stress	Nickel (II) chloride hexahydrate	m.b. Nickel (II) chloride 1 mM
Dinoroseobacter shibae DFL-12	set3H48	stress	Nickel (II) chloride hexahydrate	m.b. Nickel (II) chloride 1 mM
Dinoroseobacter shibae DFL-12	set4IT007	stress	Paraquat dichloride	m.b. Paraquat dichloride 0.015 mg/ml
Dinoroseobacter shibae DFL-12	set4IT025	stress	Paraquat dichloride	m.b. Paraquat dichloride 0.015 mg/ml
Dinoroseobacter shibae DFL-12	set5IT095	stress	Phosphomycin disodium salt	m.b. Phosphomycin 0.005 mg/ml
Dinoroseobacter shibae DFL-12	set6IT008	stress	Phosphomycin disodium salt	m.b. Phosphomycin 0.005 mg/ml
Dinoroseobacter shibae DFL-12	set6IT041	stress	Polymyxin B sulfate	m.b. Polymyxin B sulfate 0.0004 mg/ml
Dinoroseobacter shibae DFL-12	set5IT082	stress	Sisomicin sulfate salt	m.b. Sisomicin 0.002 mg/ml
Dinoroseobacter shibae DFL-12	set5IT090	stress	Sisomicin sulfate salt	m.b. Sisomicin 0.002 mg/ml
Dinoroseobacter shibae DFL-12	set5IT083	stress	Sisomicin sulfate salt	m.b. Sisomicin 0.004 mg/ml
Dinoroseobacter shibae DFL-12	set5IT091	stress	Sisomicin sulfate salt	m.b. Sisomicin 0.004 mg/ml
Dinoroseobacter shibae DFL-12	set1H19	stress	Sodium Chlorate	m.b. Chlorate 40 mM
Dinoroseobacter shibae DFL-12	set4IT014	stress	Sodium Chlorate	m.b. Chlorate 40 mM
Dinoroseobacter shibae DFL-12	set4IT032	stress	Sodium Chlorate	m.b. Chlorate 40 mM
Dinoroseobacter shibae DFL-12	set4IT017	stress	Sodium Chloride	m.b. Chloride 600 mM
Dinoroseobacter shibae DFL-12	set4IT035	stress	Sodium Chloride	m.b. Chloride 600 mM
Dinoroseobacter shibae DFL-12	set1H20	stress	Sodium Chlorite	m.b. Chlorite 0.5 mM
Dinoroseobacter shibae DFL-12	set4IT015	stress	Sodium Chlorite	m.b. Chlorite 0.5 mM
Dinoroseobacter shibae DFL-12	set4IT033	stress	Sodium Chlorite	m.b. Chlorite 0.5 mM
Dinoroseobacter shibae DFL-12	setBH28	stress	Sodium acetate	m.b. acetate 200 mM
Dinoroseobacter shibae DFL-12	set4IT012	stress	Sodium nitrate	m.b. nitrate 200 mM
Dinoroseobacter shibae DFL-12	set4IT030	stress	Sodium nitrate	m.b. nitrate 200 mM
Dinoroseobacter shibae DFL-12	set1H16	stress	Sodium nitrate	m.b. nitrate 300 mM
Dinoroseobacter shibae DFL-12	set4IT013	stress	Sodium nitrate	m.b. nitrate 300 mM
Dinoroseobacter shibae DFL-12	set4IT031	stress	Sodium nitrate	m.b. nitrate 300 mM
Dinoroseobacter shibae DFL-12	set5IT081	stress	Sodium nitrite	m.b. nitrite 0.6 mM
Dinoroseobacter shibae DFL-12	set5IT089	stress	Sodium nitrite	m.b. nitrite 0.6 mM
Dinoroseobacter shibae DFL-12	set1H21	stress	Sodium perchlorate monohydrate	m.b. perchlorate 50 mM
Dinoroseobacter shibae DFL-12	set4IT016	stress	Sodium perchlorate monohydrate	m.b. perchlorate 50 mM
Dinoroseobacter shibae DFL-12	set4IT034	stress	Sodium perchlorate monohydrate	m.b. perchlorate 50 mM
Dinoroseobacter shibae DFL-12	set6IT036	stress	Spectinomycin dihydrochloride pentahydrate	m.b. Spectinomycin 0.0015 mg/ml
Dinoroseobacter shibae DFL-12	set1H42	stress	Tetracycline hydrochloride	m.b. Tetracycline 0.006 mg/ml
Dinoroseobacter shibae DFL-12	set1H40	stress	Thallium(I) acetate	m.b. Thallium(I) acetate 0.001 mg/ml
Dinoroseobacter shibae DFL-12	set5IT080	stress	Thallium(I) acetate	m.b. Thallium(I) acetate 0.004 mg/ml
Dinoroseobacter shibae DFL-12	set5IT088	stress	Thallium(I) acetate	m.b. Thallium(I) acetate 0.004 mg/ml
Dinoroseobacter shibae DFL-12	set6IT004	stress	Vancomycin Hydrochloride Hydrate	m.b. Vancomycin 0.064 mg/ml
